symptom,duration,interpretation,risk_level,clinical_category,emergency_flag
Fever,5,Acute condition likely,3,4,1
Fever,5,Possible infection,1,0,0
Fever,5,Monitor symptoms,0,3,1
Fever,5,Requires clinical evaluation,2,1,0
Fever,5,Chronic condition suspected,3,2,1
Fever,5,Emergency evaluation needed,1,4,0
Fever,5,Lifestyle-related issue possible,0,0,1
Fever,5,Underlying disease progression,2,3,0
Fever,1,Acute condition likely,3,1,1
Fever,1,Possible infection,1,2,0
Fever,1,Monitor symptoms,0,4,1
Fever,1,Requires clinical evaluation,2,0,0
Fever,1,Chronic condition suspected,3,3,1
Fever,1,Emergency evaluation needed,1,1,0
Fever,1,Lifestyle-related issue possible,0,2,1
Fever,1,Underlying disease progression,2,4,0
Fever,4,Acute condition likely,3,0,1
Fever,4,Possible infection,1,3,0
Fever,4,Monitor symptoms,0,1,1
Fever,4,Requires clinical evaluation,2,2,0
Fever,4,Chronic condition suspected,3,4,1
Fever,4,Emergency evaluation needed,1,0,0
Fever,4,Lifestyle-related issue possible,0,3,1
Fever,4,Underlying disease progression,2,1,0
Fever,0,Acute condition likely,3,2,1
Fever,0,Possible infection,1,4,0
Fever,0,Monitor symptoms,0,0,1
Fever,0,Requires clinical evaluation,2,3,0
Fever,0,Chronic condition suspected,3,1,1
Fever,0,Emergency evaluation needed,1,2,0
Fever,0,Lifestyle-related issue possible,0,4,1
Fever,0,Underlying disease progression,2,0,0
Fever,3,Acute condition likely,3,3,1
Fever,3,Possible infection,1,1,0
Fever,3,Monitor symptoms,0,2,1
Fever,3,Requires clinical evaluation,2,4,0
Fever,3,Chronic condition suspected,3,0,1
Fever,3,Emergency evaluation needed,1,3,0
Fever,3,Lifestyle-related issue possible,0,1,1
Fever,3,Underlying disease progression,2,2,0
Fever,2,Acute condition likely,3,4,1
Fever,2,Possible infection,1,0,0
Fever,2,Monitor symptoms,0,3,1
Fever,2,Requires clinical evaluation,2,1,0
Fever,2,Chronic condition suspected,3,2,1
Fever,2,Emergency evaluation needed,1,4,0
Fever,2,Lifestyle-related issue possible,0,0,1
Fever,2,Underlying disease progression,2,3,0
Fever,6,Acute condition likely,3,1,1
Fever,6,Possible infection,1,2,0
Fever,6,Monitor symptoms,0,4,1
Fever,6,Requires clinical evaluation,2,0,0
Fever,6,Chronic condition suspected,3,3,1
Fever,6,Emergency evaluation needed,1,1,0
Fever,6,Lifestyle-related issue possible,0,2,1
Fever,6,Underlying disease progression,2,4,0
Cough,5,Acute condition likely,3,0,1
Cough,5,Possible infection,1,3,0
Cough,5,Monitor symptoms,0,1,1
Cough,5,Requires clinical evaluation,2,2,0
Cough,5,Chronic condition suspected,3,4,1
Cough,5,Emergency evaluation needed,1,0,0
Cough,5,Lifestyle-related issue possible,0,3,1
Cough,5,Underlying disease progression,2,1,0
Cough,1,Acute condition likely,3,2,1
Cough,1,Possible infection,1,4,0
Cough,1,Monitor symptoms,0,0,1
Cough,1,Requires clinical evaluation,2,3,0
Cough,1,Chronic condition suspected,3,1,1
Cough,1,Emergency evaluation needed,1,2,0
Cough,1,Lifestyle-related issue possible,0,4,1
Cough,1,Underlying disease progression,2,0,0
Cough,4,Acute condition likely,3,3,1
Cough,4,Possible infection,1,1,0
Cough,4,Monitor symptoms,0,2,1
Cough,4,Requires clinical evaluation,2,4,0
Cough,4,Chronic condition suspected,3,0,1
Cough,4,Emergency evaluation needed,1,3,0
Cough,4,Lifestyle-related issue possible,0,1,1
Cough,4,Underlying disease progression,2,2,0
Cough,0,Acute condition likely,3,4,1
Cough,0,Possible infection,1,0,0
Cough,0,Monitor symptoms,0,3,1
Cough,0,Requires clinical evaluation,2,1,0
Cough,0,Chronic condition suspected,3,2,1
Cough,0,Emergency evaluation needed,1,4,0
Cough,0,Lifestyle-related issue possible,0,0,1
Cough,0,Underlying disease progression,2,3,0
Cough,3,Acute condition likely,3,1,1
Cough,3,Possible infection,1,2,0
Cough,3,Monitor symptoms,0,4,1
Cough,3,Requires clinical evaluation,2,0,0
Cough,3,Chronic condition suspected,3,3,1
Cough,3,Emergency evaluation needed,1,1,0
Cough,3,Lifestyle-related issue possible,0,2,1
Cough,3,Underlying disease progression,2,4,0
Cough,2,Acute condition likely,3,0,1
Cough,2,Possible infection,1,3,0
Cough,2,Monitor symptoms,0,1,1
Cough,2,Requires clinical evaluation,2,2,0
Cough,2,Chronic condition suspected,3,4,1
Cough,2,Emergency evaluation needed,1,0,0
Cough,2,Lifestyle-related issue possible,0,3,1
Cough,2,Underlying disease progression,2,1,0
Cough,6,Acute condition likely,3,2,1
Cough,6,Possible infection,1,4,0
Cough,6,Monitor symptoms,0,0,1
Cough,6,Requires clinical evaluation,2,3,0
Cough,6,Chronic condition suspected,3,1,1
Cough,6,Emergency evaluation needed,1,2,0
Cough,6,Lifestyle-related issue possible,0,4,1
Cough,6,Underlying disease progression,2,0,0
Chest Pain,5,Acute condition likely,3,3,1
Chest Pain,5,Possible infection,1,1,0
Chest Pain,5,Monitor symptoms,0,2,1
Chest Pain,5,Requires clinical evaluation,2,4,0
Chest Pain,5,Chronic condition suspected,3,0,1
Chest Pain,5,Emergency evaluation needed,1,3,0
Chest Pain,5,Lifestyle-related issue possible,0,1,1
Chest Pain,5,Underlying disease progression,2,2,0
Chest Pain,1,Acute condition likely,3,4,1
Chest Pain,1,Possible infection,1,0,0
Chest Pain,1,Monitor symptoms,0,3,1
Chest Pain,1,Requires clinical evaluation,2,1,0
Chest Pain,1,Chronic condition suspected,3,2,1
Chest Pain,1,Emergency evaluation needed,1,4,0
Chest Pain,1,Lifestyle-related issue possible,0,0,1
Chest Pain,1,Underlying disease progression,2,3,0
Chest Pain,4,Acute condition likely,3,1,1
Chest Pain,4,Possible infection,1,2,0
Chest Pain,4,Monitor symptoms,0,4,1
Chest Pain,4,Requires clinical evaluation,2,0,0
Chest Pain,4,Chronic condition suspected,3,3,1
Chest Pain,4,Emergency evaluation needed,1,1,0
Chest Pain,4,Lifestyle-related issue possible,0,2,1
Chest Pain,4,Underlying disease progression,2,4,0
Chest Pain,0,Acute condition likely,3,0,1
Chest Pain,0,Possible infection,1,3,0
Chest Pain,0,Monitor symptoms,0,1,1
Chest Pain,0,Requires clinical evaluation,2,2,0
Chest Pain,0,Chronic condition suspected,3,4,1
Chest Pain,0,Emergency evaluation needed,1,0,0
Chest Pain,0,Lifestyle-related issue possible,0,3,1
Chest Pain,0,Underlying disease progression,2,1,0
Chest Pain,3,Acute condition likely,3,2,1
Chest Pain,3,Possible infection,1,4,0
Chest Pain,3,Monitor symptoms,0,0,1
Chest Pain,3,Requires clinical evaluation,2,3,0
Chest Pain,3,Chronic condition suspected,3,1,1
Chest Pain,3,Emergency evaluation needed,1,2,0
Chest Pain,3,Lifestyle-related issue possible,0,4,1
Chest Pain,3,Underlying disease progression,2,0,0
Chest Pain,2,Acute condition likely,3,3,1
Chest Pain,2,Possible infection,1,1,0
Chest Pain,2,Monitor symptoms,0,2,1
Chest Pain,2,Requires clinical evaluation,2,4,0
Chest Pain,2,Chronic condition suspected,3,0,1
Chest Pain,2,Emergency evaluation needed,1,3,0
Chest Pain,2,Lifestyle-related issue possible,0,1,1
Chest Pain,2,Underlying disease progression,2,2,0
Chest Pain,6,Acute condition likely,3,4,1
Chest Pain,6,Possible infection,1,0,0
Chest Pain,6,Monitor symptoms,0,3,1
Chest Pain,6,Requires clinical evaluation,2,1,0
Chest Pain,6,Chronic condition suspected,3,2,1
Chest Pain,6,Emergency evaluation needed,1,4,0
Chest Pain,6,Lifestyle-related issue possible,0,0,1
Chest Pain,6,Underlying disease progression,2,3,0
Headache,5,Acute condition likely,3,1,1
Headache,5,Possible infection,1,2,0
Headache,5,Monitor symptoms,0,4,1
Headache,5,Requires clinical evaluation,2,0,0
Headache,5,Chronic condition suspected,3,3,1
Headache,5,Emergency evaluation needed,1,1,0
Headache,5,Lifestyle-related issue possible,0,2,1
Headache,5,Underlying disease progression,2,4,0
Headache,1,Acute condition likely,3,0,1
Headache,1,Possible infection,1,3,0
Headache,1,Monitor symptoms,0,1,1
Headache,1,Requires clinical evaluation,2,2,0
Headache,1,Chronic condition suspected,3,4,1
Headache,1,Emergency evaluation needed,1,0,0
Headache,1,Lifestyle-related issue possible,0,3,1
Headache,1,Underlying disease progression,2,1,0
Headache,4,Acute condition likely,3,2,1
Headache,4,Possible infection,1,4,0
Headache,4,Monitor symptoms,0,0,1
Headache,4,Requires clinical evaluation,2,3,0
Headache,4,Chronic condition suspected,3,1,1
Headache,4,Emergency evaluation needed,1,2,0
Headache,4,Lifestyle-related issue possible,0,4,1
Headache,4,Underlying disease progression,2,0,0
Headache,0,Acute condition likely,3,3,1
Headache,0,Possible infection,1,1,0
Headache,0,Monitor symptoms,0,2,1
Headache,0,Requires clinical evaluation,2,4,0
Headache,0,Chronic condition suspected,3,0,1
Headache,0,Emergency evaluation needed,1,3,0
Headache,0,Lifestyle-related issue possible,0,1,1
Headache,0,Underlying disease progression,2,2,0
Headache,3,Acute condition likely,3,4,1
Headache,3,Possible infection,1,0,0
Headache,3,Monitor symptoms,0,3,1
Headache,3,Requires clinical evaluation,2,1,0
Headache,3,Chronic condition suspected,3,2,1
Headache,3,Emergency evaluation needed,1,4,0
Headache,3,Lifestyle-related issue possible,0,0,1
Headache,3,Underlying disease progression,2,3,0
Headache,2,Acute condition likely,3,1,1
Headache,2,Possible infection,1,2,0
Headache,2,Monitor symptoms,0,4,1
Headache,2,Requires clinical evaluation,2,0,0
Headache,2,Chronic condition suspected,3,3,1
Headache,2,Emergency evaluation needed,1,1,0
Headache,2,Lifestyle-related issue possible,0,2,1
Headache,2,Underlying disease progression,2,4,0
Headache,6,Acute condition likely,3,0,1
Headache,6,Possible infection,1,3,0
Headache,6,Monitor symptoms,0,1,1
Headache,6,Requires clinical evaluation,2,2,0
Headache,6,Chronic condition suspected,3,4,1
Headache,6,Emergency evaluation needed,1,0,0
Headache,6,Lifestyle-related issue possible,0,3,1
Headache,6,Underlying disease progression,2,1,0
Abdominal Pain,5,Acute condition likely,3,2,1
Abdominal Pain,5,Possible infection,1,4,0
Abdominal Pain,5,Monitor symptoms,0,0,1
Abdominal Pain,5,Requires clinical evaluation,2,3,0
Abdominal Pain,5,Chronic condition suspected,3,1,1
Abdominal Pain,5,Emergency evaluation needed,1,2,0
Abdominal Pain,5,Lifestyle-related issue possible,0,4,1
Abdominal Pain,5,Underlying disease progression,2,0,0
Abdominal Pain,1,Acute condition likely,3,3,1
Abdominal Pain,1,Possible infection,1,1,0
Abdominal Pain,1,Monitor symptoms,0,2,1
Abdominal Pain,1,Requires clinical evaluation,2,4,0
Abdominal Pain,1,Chronic condition suspected,3,0,1
Abdominal Pain,1,Emergency evaluation needed,1,3,0
Abdominal Pain,1,Lifestyle-related issue possible,0,1,1
Abdominal Pain,1,Underlying disease progression,2,2,0
Abdominal Pain,4,Acute condition likely,3,4,1
Abdominal Pain,4,Possible infection,1,0,0
Abdominal Pain,4,Monitor symptoms,0,3,1
Abdominal Pain,4,Requires clinical evaluation,2,1,0
Abdominal Pain,4,Chronic condition suspected,3,2,1
Abdominal Pain,4,Emergency evaluation needed,1,4,0
Abdominal Pain,4,Lifestyle-related issue possible,0,0,1
Abdominal Pain,4,Underlying disease progression,2,3,0
Abdominal Pain,0,Acute condition likely,3,1,1
Abdominal Pain,0,Possible infection,1,2,0
Abdominal Pain,0,Monitor symptoms,0,4,1
Abdominal Pain,0,Requires clinical evaluation,2,0,0
Abdominal Pain,0,Chronic condition suspected,3,3,1
Abdominal Pain,0,Emergency evaluation needed,1,1,0
Abdominal Pain,0,Lifestyle-related issue possible,0,2,1
Abdominal Pain,0,Underlying disease progression,2,4,0
Abdominal Pain,3,Acute condition likely,3,0,1
Abdominal Pain,3,Possible infection,1,3,0
Abdominal Pain,3,Monitor symptoms,0,1,1
Abdominal Pain,3,Requires clinical evaluation,2,2,0
Abdominal Pain,3,Chronic condition suspected,3,4,1
Abdominal Pain,3,Emergency evaluation needed,1,0,0
Abdominal Pain,3,Lifestyle-related issue possible,0,3,1
Abdominal Pain,3,Underlying disease progression,2,1,0
Abdominal Pain,2,Acute condition likely,3,2,1
Abdominal Pain,2,Possible infection,1,4,0
Abdominal Pain,2,Monitor symptoms,0,0,1
Abdominal Pain,2,Requires clinical evaluation,2,3,0
Abdominal Pain,2,Chronic condition suspected,3,1,1
Abdominal Pain,2,Emergency evaluation needed,1,2,0
Abdominal Pain,2,Lifestyle-related issue possible,0,4,1
Abdominal Pain,2,Underlying disease progression,2,0,0
Abdominal Pain,6,Acute condition likely,3,3,1
Abdominal Pain,6,Possible infection,1,1,0
Abdominal Pain,6,Monitor symptoms,0,2,1
Abdominal Pain,6,Requires clinical evaluation,2,4,0
Abdominal Pain,6,Chronic condition suspected,3,0,1
Abdominal Pain,6,Emergency evaluation needed,1,3,0
Abdominal Pain,6,Lifestyle-related issue possible,0,1,1
Abdominal Pain,6,Underlying disease progression,2,2,0
Vomiting,5,Acute condition likely,3,4,1
Vomiting,5,Possible infection,1,0,0
Vomiting,5,Monitor symptoms,0,3,1
Vomiting,5,Requires clinical evaluation,2,1,0
Vomiting,5,Chronic condition suspected,3,2,1
Vomiting,5,Emergency evaluation needed,1,4,0
Vomiting,5,Lifestyle-related issue possible,0,0,1
Vomiting,5,Underlying disease progression,2,3,0
Vomiting,1,Acute condition likely,3,1,1
Vomiting,1,Possible infection,1,2,0
Vomiting,1,Monitor symptoms,0,4,1
Vomiting,1,Requires clinical evaluation,2,0,0
Vomiting,1,Chronic condition suspected,3,3,1
Vomiting,1,Emergency evaluation needed,1,1,0
Vomiting,1,Lifestyle-related issue possible,0,2,1
Vomiting,1,Underlying disease progression,2,4,0
Vomiting,4,Acute condition likely,3,0,1
Vomiting,4,Possible infection,1,3,0
Vomiting,4,Monitor symptoms,0,1,1
Vomiting,4,Requires clinical evaluation,2,2,0
Vomiting,4,Chronic condition suspected,3,4,1
Vomiting,4,Emergency evaluation needed,1,0,0
Vomiting,4,Lifestyle-related issue possible,0,3,1
Vomiting,4,Underlying disease progression,2,1,0
Vomiting,0,Acute condition likely,3,2,1
Vomiting,0,Possible infection,1,4,0
Vomiting,0,Monitor symptoms,0,0,1
Vomiting,0,Requires clinical evaluation,2,3,0
Vomiting,0,Chronic condition suspected,3,1,1
Vomiting,0,Emergency evaluation needed,1,2,0
Vomiting,0,Lifestyle-related issue possible,0,4,1
Vomiting,0,Underlying disease progression,2,0,0
Vomiting,3,Acute condition likely,3,3,1
Vomiting,3,Possible infection,1,1,0
Vomiting,3,Monitor symptoms,0,2,1
Vomiting,3,Requires clinical evaluation,2,4,0
Vomiting,3,Chronic condition suspected,3,0,1
Vomiting,3,Emergency evaluation needed,1,3,0
Vomiting,3,Lifestyle-related issue possible,0,1,1
Vomiting,3,Underlying disease progression,2,2,0
Vomiting,2,Acute condition likely,3,4,1
Vomiting,2,Possible infection,1,0,0
Vomiting,2,Monitor symptoms,0,3,1
Vomiting,2,Requires clinical evaluation,2,1,0
Vomiting,2,Chronic condition suspected,3,2,1
Vomiting,2,Emergency evaluation needed,1,4,0
Vomiting,2,Lifestyle-related issue possible,0,0,1
Vomiting,2,Underlying disease progression,2,3,0
Vomiting,6,Acute condition likely,3,1,1
Vomiting,6,Possible infection,1,2,0
Vomiting,6,Monitor symptoms,0,4,1
Vomiting,6,Requires clinical evaluation,2,0,0
Vomiting,6,Chronic condition suspected,3,3,1
Vomiting,6,Emergency evaluation needed,1,1,0
Vomiting,6,Lifestyle-related issue possible,0,2,1
Vomiting,6,Underlying disease progression,2,4,0
Diarrhea,5,Acute condition likely,3,0,1
Diarrhea,5,Possible infection,1,3,0
Diarrhea,5,Monitor symptoms,0,1,1
Diarrhea,5,Requires clinical evaluation,2,2,0
Diarrhea,5,Chronic condition suspected,3,4,1
Diarrhea,5,Emergency evaluation needed,1,0,0
Diarrhea,5,Lifestyle-related issue possible,0,3,1
Diarrhea,5,Underlying disease progression,2,1,0
Diarrhea,1,Acute condition likely,3,2,1
Diarrhea,1,Possible infection,1,4,0
Diarrhea,1,Monitor symptoms,0,0,1
Diarrhea,1,Requires clinical evaluation,2,3,0
Diarrhea,1,Chronic condition suspected,3,1,1
Diarrhea,1,Emergency evaluation needed,1,2,0
Diarrhea,1,Lifestyle-related issue possible,0,4,1
Diarrhea,1,Underlying disease progression,2,0,0
Diarrhea,4,Acute condition likely,3,3,1
Diarrhea,4,Possible infection,1,1,0
Diarrhea,4,Monitor symptoms,0,2,1
Diarrhea,4,Requires clinical evaluation,2,4,0
Diarrhea,4,Chronic condition suspected,3,0,1
Diarrhea,4,Emergency evaluation needed,1,3,0
Diarrhea,4,Lifestyle-related issue possible,0,1,1
Diarrhea,4,Underlying disease progression,2,2,0
Diarrhea,0,Acute condition likely,3,4,1
Diarrhea,0,Possible infection,1,0,0
Diarrhea,0,Monitor symptoms,0,3,1
Diarrhea,0,Requires clinical evaluation,2,1,0
Diarrhea,0,Chronic condition suspected,3,2,1
Diarrhea,0,Emergency evaluation needed,1,4,0
Diarrhea,0,Lifestyle-related issue possible,0,0,1
Diarrhea,0,Underlying disease progression,2,3,0
Diarrhea,3,Acute condition likely,3,1,1
Diarrhea,3,Possible infection,1,2,0
Diarrhea,3,Monitor symptoms,0,4,1
Diarrhea,3,Requires clinical evaluation,2,0,0
Diarrhea,3,Chronic condition suspected,3,3,1
Diarrhea,3,Emergency evaluation needed,1,1,0
Diarrhea,3,Lifestyle-related issue possible,0,2,1
Diarrhea,3,Underlying disease progression,2,4,0
Diarrhea,2,Acute condition likely,3,0,1
Diarrhea,2,Possible infection,1,3,0
Diarrhea,2,Monitor symptoms,0,1,1
Diarrhea,2,Requires clinical evaluation,2,2,0
Diarrhea,2,Chronic condition suspected,3,4,1
Diarrhea,2,Emergency evaluation needed,1,0,0
Diarrhea,2,Lifestyle-related issue possible,0,3,1
Diarrhea,2,Underlying disease progression,2,1,0
Diarrhea,6,Acute condition likely,3,2,1
Diarrhea,6,Possible infection,1,4,0
Diarrhea,6,Monitor symptoms,0,0,1
Diarrhea,6,Requires clinical evaluation,2,3,0
Diarrhea,6,Chronic condition suspected,3,1,1
Diarrhea,6,Emergency evaluation needed,1,2,0
Diarrhea,6,Lifestyle-related issue possible,0,4,1
Diarrhea,6,Underlying disease progression,2,0,0
Fatigue,5,Acute condition likely,3,3,1
Fatigue,5,Possible infection,1,1,0
Fatigue,5,Monitor symptoms,0,2,1
Fatigue,5,Requires clinical evaluation,2,4,0
Fatigue,5,Chronic condition suspected,3,0,1
Fatigue,5,Emergency evaluation needed,1,3,0
Fatigue,5,Lifestyle-related issue possible,0,1,1
Fatigue,5,Underlying disease progression,2,2,0
Fatigue,1,Acute condition likely,3,4,1
Fatigue,1,Possible infection,1,0,0
Fatigue,1,Monitor symptoms,0,3,1
Fatigue,1,Requires clinical evaluation,2,1,0
Fatigue,1,Chronic condition suspected,3,2,1
Fatigue,1,Emergency evaluation needed,1,4,0
Fatigue,1,Lifestyle-related issue possible,0,0,1
Fatigue,1,Underlying disease progression,2,3,0
Fatigue,4,Acute condition likely,3,1,1
Fatigue,4,Possible infection,1,2,0
Fatigue,4,Monitor symptoms,0,4,1
Fatigue,4,Requires clinical evaluation,2,0,0
Fatigue,4,Chronic condition suspected,3,3,1
Fatigue,4,Emergency evaluation needed,1,1,0
Fatigue,4,Lifestyle-related issue possible,0,2,1
Fatigue,4,Underlying disease progression,2,4,0
Fatigue,0,Acute condition likely,3,0,1
Fatigue,0,Possible infection,1,3,0
Fatigue,0,Monitor symptoms,0,1,1
Fatigue,0,Requires clinical evaluation,2,2,0
Fatigue,0,Chronic condition suspected,3,4,1
Fatigue,0,Emergency evaluation needed,1,0,0
Fatigue,0,Lifestyle-related issue possible,0,3,1
Fatigue,0,Underlying disease progression,2,1,0
Fatigue,3,Acute condition likely,3,2,1
Fatigue,3,Possible infection,1,4,0
Fatigue,3,Monitor symptoms,0,0,1
Fatigue,3,Requires clinical evaluation,2,3,0
Fatigue,3,Chronic condition suspected,3,1,1
Fatigue,3,Emergency evaluation needed,1,2,0
Fatigue,3,Lifestyle-related issue possible,0,4,1
Fatigue,3,Underlying disease progression,2,0,0
Fatigue,2,Acute condition likely,3,3,1
Fatigue,2,Possible infection,1,1,0
Fatigue,2,Monitor symptoms,0,2,1
Fatigue,2,Requires clinical evaluation,2,4,0
Fatigue,2,Chronic condition suspected,3,0,1
Fatigue,2,Emergency evaluation needed,1,3,0
Fatigue,2,Lifestyle-related issue possible,0,1,1
Fatigue,2,Underlying disease progression,2,2,0
Fatigue,6,Acute condition likely,3,4,1
Fatigue,6,Possible infection,1,0,0
Fatigue,6,Monitor symptoms,0,3,1
Fatigue,6,Requires clinical evaluation,2,1,0
Fatigue,6,Chronic condition suspected,3,2,1
Fatigue,6,Emergency evaluation needed,1,4,0
Fatigue,6,Lifestyle-related issue possible,0,0,1
Fatigue,6,Underlying disease progression,2,3,0
Breathlessness,5,Acute condition likely,3,1,1
Breathlessness,5,Possible infection,1,2,0
Breathlessness,5,Monitor symptoms,0,4,1
Breathlessness,5,Requires clinical evaluation,2,0,0
Breathlessness,5,Chronic condition suspected,3,3,1
Breathlessness,5,Emergency evaluation needed,1,1,0
Breathlessness,5,Lifestyle-related issue possible,0,2,1
Breathlessness,5,Underlying disease progression,2,4,0
Breathlessness,1,Acute condition likely,3,0,1
